순위,등락,곡,가수,앨범,발매일
1,0,꽃 길,BIGBANG,꽃 길,2018.03.13
2,3,별이 빛나는 밤,마마무(Mamamoo),Yellow Flower,2018.03.07
3,1,Jenga (Feat. Gaeko),헤이즈(Heize),바람,2018.03.08
4,2,Look,GOT7 (갓세븐),Eyes On You,2018.03.12
5,2,너 하나만 (Feat. 효린),GOT7 (갓세븐),Eyes On You,2018.03.12
6,2,내가 더 나빠,헤이즈(Heize),바람,2018.03.08
7,2,그때 헤어지면 돼,로이킴,그때 헤어지면 돼,2018.02.12
8,1,약속해요 (I.P.U.),Wanna One(워너원),약속해요 (I.P.U.) - Special Theme Track,2018.03.05
9,2,You,멜로망스(Melomance),투유 프로젝트 - 슈가맨2 Part 2,2018.01.22
10,6,HandClap,Fitz & The Tantrums,Fitz and The Tantrums (Deluxe),2017.07.28
11,10,뿜뿜,모모랜드(MOMOLAND),GREAT!,2018.01.03
12,6,망설이다,GOT7 (갓세븐),Eyes On You,2018.03.12
13,13,Roller Coaster,청하,Offset,2018.01.17
14,5,괜찮냐고 ,헤이즈(Heize),바람,2018.03.08
15,5,True Love,김성규,1st Album `10 Stories`,2018.02.26
16,245,사랑을 했다 (LOVE SCENARIO),iKON,Return,2018.01.25
17,3,우리,GOT7 (갓세븐),Eyes On You,2018.03.12
18,3,고마워,GOT7 (갓세븐),Eyes On You,2018.03.12
19,1,네가 없는 곳,양요섭,YANG YOSEOP 2ND MINI ALBUM `白`,2018.02.19
20,8,The Reason,GOT7 (갓세븐),Eyes On You,2018.03.12
21,9,애쓰지 마요,박보람,애쓰지 마요,2018.02.13
22,1,Bad Boy,Red Velvet (레드벨벳),The Perfect Red Velvet - The 2nd Album Repackage,2018.01.29
23,10,Havana (Feat. Young Thug),Camila Cabello,Camila,2018.01.12
24,5,갖고 싶어,Wanna One(워너원),1-1=0 (NOTHING WITHOUT YOU),2017.11.13
25,1,밤이 되니까,펀치(Punch),밤이 되니까,2017.09.29
26,9,instagram,DEAN,instagram,2017.12.26
27,1,눈사람,정승환,그리고 봄,2018.02.19
28,304,마지막처럼,BLACKPINK,마지막처럼,2017.06.22
29,298,잘 살길 바래 (With DAVII),헤이즈(Heize),바람,2018.03.08
30,8,My Blossom,소유(SOYOU),My Blossom,2018.03.12
31,0,My Way,이수(엠씨더맥스) ,돈꽃 OST Part 1,2017.11.11
32,7,오늘밤도,펀치(Punch),오늘밤도,2018.02.06
33,246,비도 오고 그래서 (Feat. 신용재),헤이즈(Heize),/// (너 먹구름 비),2017.06.26
34,2,머물러줘,김성규,1st Album `10 Stories`,2018.02.26
35,1,다른사람을 사랑하고 있어,수지(SUZY),Faces of Love,2018.01.29
36,0,별 바람 꽃 태양,마마무(Mamamoo),Yellow Flower,2018.03.07
37,9,Grapevine (포도주) (Feat. 박재범),Junoflo(주노플로),Only Human,2018.03.13
38,295,MIANHAE,헤이즈(Heize),바람,2018.03.08
39,283,덜덜덜,EXID,Full Moon,2017.11.07
40,274,There`s Nothing Holdin` Me Back,Shawn Mendes,Illuminate (New Deluxe Ver.),2017.04.21
41,300,바람,헤이즈(Heize),바람,2018.03.08
42,254,별,양요섭,YANG YOSEOP 2ND MINI ALBUM `白`,2018.02.19
43,0,Action! (Feat. GRAY),DPR LIVE,Action!,2018.03.13
44,281,나의 사춘기에게,볼빨간사춘기,Red Diary Page.1,2017.09.28
45,4,물감,문문(MoonMoon),물감,2017.04.24
46,6,Closer (Feat. Halsey),The Chainsmokers,Collage EP,2016.11.05
47,10,후유증,민경훈,후유증,2018.02.17
48,292,불장난,BLACKPINK,SQUARE TWO,2016.11.01
49,304,Blue,볼빨간사춘기,Red Diary Page.1,2017.09.28
50,293,Beautiful,크러쉬(CRUSH),도깨비 OST Part 4,2016.12.17
51,7,Faded,Alan Walker,Faded,2016.01.15
52,10,"All Falls Down (Feat. Noah Cyrus, Digit ..",Alan Walker,All Falls Down,2017.10.27
53,6,Thunder,Imagine Dragons,Evolve,2018.02.22
54,9,돌아오지마  (Feat. 용준형 of 비스트),헤이즈(Heize),돌아오지마,2016.04.14
55,304,어디에도,M.C THE MAX,pathos,2016.01.28
56,315,추억 한 잔 (Feat. 하림),먼데이 키즈,추억 한 잔,2018.03.09
57,8,Love Letter (언약),2Shai,Love Letter,2003.09.08
58,317,잘가라,홍진영,잘가라,2018.02.07
59,348,폰서트,10cm,4.0,2017.09.01
60,8,Undercover (Feat. 윤미래),Junoflo(주노플로),Only Human,2018.03.13
61,6,꿈꾸는 마음으로,우주소녀,Dream your dream,2018.02.27
62,5,Nobody (Feat. 타이거JK & 블랙나인),Junoflo(주노플로),Only Human,2018.03.13
63,1,파랑새,에이프릴(APRIL),에이프릴(APRIL) 5th Mini Album `The Blue`,2018.03.12
64,405,고쳐주세요,볼빨간사춘기,Red Diary Page.1,2017.09.28
65,454,Stay With Me,찬열 (CHANYEOL),도깨비 OST Part 1,2016.12.03
66,4,How Long Will I Love You,Ellie Goulding,어바웃타임 (About Time) OST,2013.12.02
67,484,첫 눈,정준일,도깨비 OST Part 8,2017.01.01
68,571,바람기억,나얼,Principle Of My Soul,2012.09.20
69,21,날 사랑해요,정인,SR PROJECT VOL. 5,2018.03.13
70,9,Love Letter,장덕철,투유 프로젝트 - 슈가맨2 Part 8,2018.03.12
71,546,이쁘다니까,에디킴,도깨비 OST Part 5,2016.12.24
72,13,소주 한 잔,임창정,Bye,2003.06.05
73,741,셀럽파이브 (셀럽이 되고 싶어),셀럽파이브,셀럽 No.1,2018.01.24
74,18,Revenue (Feat. Hash Swan),Junoflo(주노플로),Only Human,2018.03.13
75,8,추억은 사랑을 닮아,박효신,The Breeze Of Sea,2007.01.29
76,11,실례해도 될까요,장재인,LISTEN 020 실례해도 될까요,2018.03.09
77,447,I Miss You,소유(SOYOU),도깨비 OST Part 7,2016.12.31
78,832,Someone That Loves You,HONNE,Warm On A Cold Night (Deluxe),2016.07.22
79,21,우리집을 못 찾겠군요 (Feat. 볼빨간사춘기),매드 클라운(Mad Clown),우리집을 못 찾겠군요,2017.02.03
80,125,Make You Feel My Love,Adele,19,2008.01.27
81,7,그 남자 그 여자 (Feat. 장혜진),바이브,Re-Feel,2006.02.27
82,29,또 다시 사랑,임창정,또 다시 사랑,2015.09.22
83,11,비가 오는 날엔,비스트(Beast),비가 오는 날엔,2011.05.12
84,607,The Boots,구구단 (gugudan),Act.4 Cait Sith,2018.02.01
85,0,구르미 그린 달빛,거미,구르미 그린 달빛 (KBS2 월화드라마) OST - Part 3,2016.09.06
86,570,Call You Mine (Feat. Geologic of The Bl ..,Jeff Bernat,The Gentleman Approach,2012.05.22
87,16,이럴거면 그러지말지 (Feat. Young K),백아연,이럴거면 그러지말지,2015.05.20
88,627,그대가 나를 본다면,반하나,그대가 나를 본다면,2014.05.09
89,0,짙어져,멜로망스(Melomance),Yellow OST,2017.10.26
90,13,I`m Yours,Jason Mraz,I`m Yours: The Perfect Modern-Day Love Songs,2009.12.18
91,59,Everything Has Changed (Feat. Ed Sheera ..,Taylor Swift,Red (International Ver.),2013.05.14
92,26,미워요,정인,정인 From Andromeda,2010.03.11
93,18,오랜만이야,임창정,Return To My World,2009.03.10
94,18,사랑 참 못됐다,손승연,대군 OST 二劃 (이획),2018.03.11
95,0,La La La,위키미키(Weki Meki),Lucky,2018.02.21
96,715,"ONE SHOT, TWO SHOT",보아 (BoA),"ONE SHOT, TWO SHOT - The 1st Mini Album",2018.02.20
97,799,Let Me Out,뉴이스트 W,화유기 OST Part 1,2017.12.23
98,13,원하고 바래요,태하 (모모랜드),크로스 OST Part 5,2018.03.13
99,569,Who are you,샘김,도깨비 OST Part 6,2016.12.25
100,756,아모르 파티,김연자,아모르 파티,2013.07.23
